,ID,Name,Birthdate,Birthplace,Country_of_birth,Latitude,Longitude
1,1401815,"Aagaard, Jacob",7/31/1973,Horsholm,Denmark,55.8835,12.5049
2,13402960,"Abasov, Nijat",5/14/1995,Baku,Azerbaijan,40.3667,49.8352
3,12501000,"Abbasifar, Hasan",9/12/1972,Shiraz,Iran,29.61,52.5425
4,13400665,"Abbasov, Farid",1/31/1979,Baku,Azerbaijan,40.3667,49.8352
5,13703544,"Abdumalik, Zhansaya",1/12/2000,Almaty,Kazakhstan,43.25,76.9
6,14204118,"Abdusattorov, Nodirbek",9/18/2004,Tashkent,Uzbekistan,41.3,69.2667
7,614890,"Abergel, Thal",10/13/1982,Haifa,Israel,32.8,34.9833
8,900206,"Abramovic, Bosko",2/14/1951,Zrenjanin,Serbia,45.3778,20.3861
9,3502589,"Abreu Delgado, Aryam",7/9/1978,Guines,Cuba,22.8475,-82.0236
10,708020,"Acs, Peter",5/10/1981,Eger,Hungary,47.8989,20.3747
11,727709,"Aczel, Gergely",2/27/1991,Budapest,Hungary,47.4983,19.0408
12,400041,"Adams, Michael",11/17/1971,Truro,United Kingdom,50.26,-5.051
13,7100019,"Adianto, Utut",3/16/1965,Jakarta,Indonesia,-6.2146,106.8451
14,10601619,"Adly, Ahmed",2/18/1987,Cairo,Egypt,30.0561,31.2394
15,700096,"Adorjan, Andras",3/31/1950,Budapest,Hungary,47.4983,19.0408
16,24183555,"Afanasiev, Nikita",8/29/2000,NA,NA,NA,NA
17,13401718,"Agaragimov, Djakhangir",12/5/1986,NA,NA,NA,NA
18,1500015,"Agdestein, Simen",5/15/1967,Asker,Norway,59.8331,10.4392
19,13400215,"Aghamaliyev, Cemil",8/31/1974,NA,NA,NA,NA
20,13302841,"Aghasaryan, Robert",3/1/1994,Saint Petersburg,Russia,59.95,30.3167
21,1705024,"Agrest, Evgenij",8/15/1966,Vitebsk,Belarus,55.1927,30.2064
22,3508455,"Aguero Jimenez, Luis Lazaro",1/5/1991,Havana,Cuba,23.1367,-82.3589
23,14109069,"Ajrapetjan, Yuriy",4/18/1988,Yerevan,Armenia,40.1814,44.5144
24,5040299,Akash G,10/1/1996,Chennai,India,13.0825,80.275
25,4131045,"Akbaev, Kazbek",6/8/1981,Cherkessk,Russia,44.2222,42.0575
26,1700120,"Akesson, Ralf",2/8/1961,Oxelosund,Sweden,58.6755,17.075
27,13300580,"Akobian, Varuzhan",11/19/1983,Yerevan,Armenia,40.1814,44.5144
28,13300032,"Akopian, Vladimir",12/7/1971,Baku,Azerbaijan,40.3667,49.8352
29,5012414,"Akshayraj, Kore",9/1/1988,Ahmednagar,India,19.0833,74.7333
30,12100030,"Al-Mudahka, Mohd",6/1/1974,NA,NA,NA,NA
31,12100196,"AL-Sayed, Mohammed",11/2/1981,NA,NA,NA,NA
32,4120612,"Alavkin, Arseny",1/17/1969,Kazan,Russia,55.7908,49.1144
