"","V1","Name","ID Number","Period","RTNG","Birthdate","Birthplace","Country_of_birth","Latitude","Longitude","Age","Sex","Fed","rating_inc"
"1",9527,"Kasparov, Garry",4100018,1979-07-01 00:00:00,2545,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,16.21629,"M","RUS",NA
"2",9526,"Kasparov, Garry",4100018,1980-01-01 00:00:00,2595,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,16.72005,"M","RUS",50
"3",9525,"Kasparov, Garry",4100018,1981-01-01 00:00:00,2625,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,17.72211,"M","RUS",30
"4",9524,"Kasparov, Garry",4100018,1981-07-01 00:00:00,2630,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,18.21766,"M","RUS",5
"5",9523,"Kasparov, Garry",4100018,1982-01-01 00:00:00,2640,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,18.72142,"M","RUS",10
"6",9522,"Kasparov, Garry",4100018,1982-07-01 00:00:00,2675,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,19.21697,"M","RUS",35
"7",9521,"Kasparov, Garry",4100018,1983-01-01 00:00:00,2690,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,19.72074,"M","RUS",15
"8",9520,"Kasparov, Garry",4100018,1983-07-01 00:00:00,2690,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,20.21629,"M","RUS",0
"9",9519,"Kasparov, Garry",4100018,1984-01-01 00:00:00,2710,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,20.72005,"M","RUS",20
"10",9518,"Kasparov, Garry",4100018,1984-07-01 00:00:00,2715,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,21.21834,"M","RUS",5
"11",9517,"Kasparov, Garry",4100018,1985-01-01 00:00:00,2715,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,21.72211,"M","RUS",0
"12",9516,"Kasparov, Garry",4100018,1985-07-01 00:00:00,2700,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,22.21766,"M","RUS",-15
"13",9515,"Kasparov, Garry",4100018,1986-01-01 00:00:00,2720,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,22.72142,"M","RUS",20
"14",9514,"Kasparov, Garry",4100018,1986-07-01 00:00:00,2740,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,23.21697,"M","RUS",20
"15",10785,"Lautier, Joel",600016,1986-07-01 00:00:00,2255,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,13.21834,"M","FRA",NA
"16",9513,"Kasparov, Garry",4100018,1987-01-01 00:00:00,2735,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,23.72074,"M","RUS",-5
"17",10784,"Lautier, Joel",600016,1987-01-01 00:00:00,2255,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,13.72211,"M","FRA",0
"18",14917,"Polgar, Judit",700070,1987-01-01 00:00:00,2355,"7/23/1976","Budapest","Hungary",47.4983,19.0408,10.44216,"F","HUN",NA
"19",9512,"Kasparov, Garry",4100018,1987-07-01 00:00:00,2740,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,24.21629,"M","RUS",5
"20",10783,"Lautier, Joel",600016,1987-07-01 00:00:00,2290,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,14.21766,"M","FRA",35
"21",14916,"Polgar, Judit",700070,1987-07-01 00:00:00,2355,"7/23/1976","Budapest","Hungary",47.4983,19.0408,10.93771,"F","HUN",0
"22",9023,"Kamsky, Gata",2000024,1988-01-01 00:00:00,2380,"6/2/1974","Novokuznetsk","Russia",53.75,87.1167,13.58248,"M","USA",NA
"23",9511,"Kasparov, Garry",4100018,1988-01-01 00:00:00,2750,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,24.72005,"M","RUS",10
"24",10782,"Lautier, Joel",600016,1988-01-01 00:00:00,2290,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,14.72142,"M","FRA",0
"25",14915,"Polgar, Judit",700070,1988-01-01 00:00:00,2320,"7/23/1976","Budapest","Hungary",47.4983,19.0408,11.44148,"F","HUN",-35
"26",19744,"Topalov, Veselin",2900084,1988-01-01 00:00:00,2300,"3/15/1975","Ruse","Bulgaria",43.8445,25.9539,12.79945,"M","BUL",NA
"27",9022,"Kamsky, Gata",2000024,1988-07-01 00:00:00,2380,"6/2/1974","Novokuznetsk","Russia",53.75,87.1167,14.08077,"M","USA",0
"28",9510,"Kasparov, Garry",4100018,1988-07-01 00:00:00,2760,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,25.21834,"M","RUS",10
"29",10781,"Lautier, Joel",600016,1988-07-01 00:00:00,2365,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,15.21971,"M","FRA",75
"30",14914,"Polgar, Judit",700070,1988-07-01 00:00:00,2365,"7/23/1976","Budapest","Hungary",47.4983,19.0408,11.93977,"F","HUN",45
"31",19743,"Topalov, Veselin",2900084,1988-07-01 00:00:00,2325,"3/15/1975","Ruse","Bulgaria",43.8445,25.9539,13.29774,"M","BUL",25
"32",9021,"Kamsky, Gata",2000024,1989-01-01 00:00:00,2345,"6/2/1974","Novokuznetsk","Russia",53.75,87.1167,14.58453,"M","USA",-35
"33",9509,"Kasparov, Garry",4100018,1989-01-01 00:00:00,2775,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,25.72211,"M","RUS",15
"34",10780,"Lautier, Joel",600016,1989-01-01 00:00:00,2450,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,15.72348,"M","FRA",85
"35",14913,"Polgar, Judit",700070,1989-01-01 00:00:00,2555,"7/23/1976","Budapest","Hungary",47.4983,19.0408,12.44353,"F","HUN",190
"36",19742,"Topalov, Veselin",2900084,1989-01-01 00:00:00,2395,"3/15/1975","Ruse","Bulgaria",43.8445,25.9539,13.80151,"M","BUL",70
"37",9020,"Kamsky, Gata",2000024,1989-07-01 00:00:00,2345,"6/2/1974","Novokuznetsk","Russia",53.75,87.1167,15.08008,"M","USA",0
"38",9508,"Kasparov, Garry",4100018,1989-07-01 00:00:00,2775,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,26.21766,"M","RUS",0
"39",10434,"Kramnik, Vladimir",4101588,1989-07-01 00:00:00,2490,"6/25/1975","Tuapse","Russia",44.1,39.0833,14.0178,"M","RUS",NA
"40",10779,"Lautier, Joel",600016,1989-07-01 00:00:00,2465,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,16.21903,"M","FRA",15
"41",14912,"Polgar, Judit",700070,1989-07-01 00:00:00,2555,"7/23/1976","Budapest","Hungary",47.4983,19.0408,12.93908,"F","HUN",0
"42",19741,"Topalov, Veselin",2900084,1989-07-01 00:00:00,2460,"3/15/1975","Ruse","Bulgaria",43.8445,25.9539,14.29706,"M","BUL",65
"43",784,"Almasi, Zoltan",702293,1990-01-01 00:00:00,2245,"8/29/1976","Jardanhaza","Hungary",48.1551,20.2477,13.34154689,"M","HUN",NA
"44",9019,"Kamsky, Gata",2000024,1990-01-01 00:00:00,2510,"6/2/1974","Novokuznetsk","Russia",53.75,87.1167,15.58385,"M","USA",165
"45",9507,"Kasparov, Garry",4100018,1990-01-01 00:00:00,2800,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,26.72142,"M","RUS",25
"46",10433,"Kramnik, Vladimir",4101588,1990-01-01 00:00:00,2450,"6/25/1975","Tuapse","Russia",44.1,39.0833,14.52156,"M","RUS",-40
"47",10778,"Lautier, Joel",600016,1990-01-01 00:00:00,2500,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,16.72279,"M","FRA",35
"48",14911,"Polgar, Judit",700070,1990-01-01 00:00:00,2550,"7/23/1976","Budapest","Hungary",47.4983,19.0408,13.44285,"F","HUN",-5
"49",19740,"Topalov, Veselin",2900084,1990-01-01 00:00:00,2495,"3/15/1975","Ruse","Bulgaria",43.8445,25.9539,14.80082,"M","BUL",35
"50",783,"Almasi, Zoltan",702293,1990-07-01 00:00:00,2265,"8/29/1976","Jardanhaza","Hungary",48.1551,20.2477,13.83709788,"M","HUN",20
"51",9018,"Kamsky, Gata",2000024,1990-07-01 00:00:00,2650,"6/2/1974","Novokuznetsk","Russia",53.75,87.1167,16.0794,"M","USA",140
"52",9506,"Kasparov, Garry",4100018,1990-07-01 00:00:00,2800,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,27.21697,"M","RUS",0
"53",10432,"Kramnik, Vladimir",4101588,1990-07-01 00:00:00,2450,"6/25/1975","Tuapse","Russia",44.1,39.0833,15.01711,"M","RUS",0
"54",10777,"Lautier, Joel",600016,1990-07-01 00:00:00,2570,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,17.21834,"M","FRA",70
"55",11127,"Leko, Peter",703303,1990-07-01 00:00:00,2240,"9/8/1979","Subotica","Serbia",46.0983,19.67,10.81177,"M","HUN",NA
"56",14910,"Polgar, Judit",700070,1990-07-01 00:00:00,2540,"7/23/1976","Budapest","Hungary",47.4983,19.0408,13.9384,"F","HUN",-10
"57",19739,"Topalov, Veselin",2900084,1990-07-01 00:00:00,2475,"3/15/1975","Ruse","Bulgaria",43.8445,25.9539,15.29637,"M","BUL",-20
"58",782,"Almasi, Zoltan",702293,1991-01-01 00:00:00,2340,"8/29/1976","Jardanhaza","Hungary",48.1551,20.2477,14.34086242,"M","HUN",75
"59",9017,"Kamsky, Gata",2000024,1991-01-01 00:00:00,2640,"6/2/1974","Novokuznetsk","Russia",53.75,87.1167,16.58316,"M","USA",-10
"60",9505,"Kasparov, Garry",4100018,1991-01-01 00:00:00,2800,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,27.72074,"M","RUS",0
"61",10431,"Kramnik, Vladimir",4101588,1991-01-01 00:00:00,2480,"6/25/1975","Tuapse","Russia",44.1,39.0833,15.52088,"M","RUS",30
"62",10776,"Lautier, Joel",600016,1991-01-01 00:00:00,2550,"4/12/1973","Scarborough","Canada",43.7764,-79.2318,17.72211,"M","FRA",-20
"63",11126,"Leko, Peter",703303,1991-01-01 00:00:00,2255,"9/8/1979","Subotica","Serbia",46.0983,19.67,11.31554,"M","HUN",15
"64",14909,"Polgar, Judit",700070,1991-01-01 00:00:00,2540,"7/23/1976","Budapest","Hungary",47.4983,19.0408,14.44216,"F","HUN",0
"65",19738,"Topalov, Veselin",2900084,1991-01-01 00:00:00,2455,"3/15/1975","Ruse","Bulgaria",43.8445,25.9539,15.80014,"M","BUL",-20
"66",781,"Almasi, Zoltan",702293,1991-07-01 00:00:00,2400,"8/29/1976","Jardanhaza","Hungary",48.1551,20.2477,14.83641342,"M","HUN",60
"67",9016,"Kamsky, Gata",2000024,1991-07-01 00:00:00,2595,"6/2/1974","Novokuznetsk","Russia",53.75,87.1167,17.07871,"M","USA",-45
"68",9504,"Kasparov, Garry",4100018,1991-07-01 00:00:00,2770,"4/13/1963","Baku","Azerbaijan",40.3667,49.8352,28.21629,"M","RUS",-30
