"","Name","ID Number","Date","RTNG"
"1","Adams, Michael",400041,1999-07-01,2708
"2","Adams, Michael",400041,1999-01-01,2716
"3","Adams, Michael",400041,1998-07-01,2715
"4","Adams, Michael",400041,1998-01-01,2670
"5","Adams, Michael",400041,1997-07-01,2680
"6","Adams, Michael",400041,1997-01-01,2665
"7","Adams, Michael",400041,1996-07-01,2685
"8","Adams, Michael",400041,1996-01-01,2660
"9","Adams, Michael",400041,1995-07-01,2660
"10","Adams, Michael",400041,1995-01-01,2655
"11","Adams, Michael",400041,1994-07-01,2640
"12","Adams, Michael",400041,1994-01-01,2660
"13","Adams, Michael",400041,1993-07-01,2630
"14","Adams, Michael",400041,1993-01-01,2630
"15","Adams, Michael",400041,1992-07-01,2610
"16","Adams, Michael",400041,1992-01-01,2620
"17","Adams, Michael",400041,1991-07-01,2615
"18","Adams, Michael",400041,1991-01-01,2600
"19","Adams, Michael",400041,1990-07-01,2590
"20","Adams, Michael",400041,1990-01-01,2555
"21","Adams, Michael",400041,1989-07-01,2505
"22","Adams, Michael",400041,1989-01-01,2495
"23","Adams, Michael",400041,1988-07-01,2460
"24","Adams, Michael",400041,1988-01-01,2430
"25","Adams, Michael",400041,1987-07-01,2360
"26","Adams, Michael",400041,1987-01-01,2360
"27","Adams, Michael",400041,1986-07-01,2260
"28","Adams, Michael",400041,1986-01-01,2295
"29","Adams, Michael",400041,1985-07-01,2360
"30","Akobian, Varuzhan",13300580,1999-07-01,2387
"31","Akobian, Varuzhan",13300580,1999-01-01,2359
"32","Akobian, Varuzhan",13300580,1998-07-01,2345
"33","Akobian, Varuzhan",13300580,1998-01-01,2365
"34","Akobian, Varuzhan",13300580,1997-07-01,2385
"35","Akobian, Varuzhan",13300580,1997-01-01,2240
"36","Akobian, Varuzhan",13300580,1996-07-01,2270
"37","Akopian, Vladimir",13300032,1999-07-01,2646
"38","Akopian, Vladimir",13300032,1999-01-01,2640
"39","Akopian, Vladimir",13300032,1998-07-01,2655
"40","Akopian, Vladimir",13300032,1998-01-01,2660
"41","Akopian, Vladimir",13300032,1997-07-01,2660
"42","Akopian, Vladimir",13300032,1997-01-01,2660
"43","Akopian, Vladimir",13300032,1996-07-01,2630
"44","Akopian, Vladimir",13300032,1996-01-01,2620
"45","Akopian, Vladimir",13300032,1995-07-01,2625
"46","Akopian, Vladimir",13300032,1995-01-01,2655
"47","Akopian, Vladimir",13300032,1994-07-01,2630
"48","Akopian, Vladimir",13300032,1994-01-01,2605
"49","Akopian, Vladimir",13300032,1993-07-01,2600
"50","Akopian, Vladimir",13300032,1993-01-01,2615
"51","Akopian, Vladimir",13300032,1992-07-01,2600
"52","Akopian, Vladimir",13300032,1992-01-01,2605
"53","Akopian, Vladimir",13300032,1991-07-01,2590
"54","Akopian, Vladimir",13300032,1991-01-01,2555
"55","Akopian, Vladimir",13300032,1990-07-01,2535
"56","Akopian, Vladimir",13300032,1990-01-01,2550
"57","Akopian, Vladimir",13300032,1989-07-01,2525
"58","Akopian, Vladimir",13300032,1989-01-01,2520
"59","Akopian, Vladimir",13300032,1988-07-01,2455
"60","Akopian, Vladimir",13300032,1988-01-01,2460
"61","Alekseev, Evgeny",4138147,1999-07-01,2400
"62","Alekseev, Evgeny",4138147,1999-01-01,2300
"63","Alekseev, Evgeny",4138147,1998-07-01,2270
"64","Alekseev, Evgeny",4138147,1998-01-01,2275
"65","Almasi, Zoltan",702293,1999-07-01,2663
"66","Almasi, Zoltan",702293,1999-01-01,2665
"67","Almasi, Zoltan",702293,1998-07-01,2650
"68","Almasi, Zoltan",702293,1998-01-01,2630
"69","Almasi, Zoltan",702293,1997-07-01,2615
"70","Almasi, Zoltan",702293,1997-01-01,2595
"71","Almasi, Zoltan",702293,1996-07-01,2655
"72","Almasi, Zoltan",702293,1996-01-01,2650
"73","Almasi, Zoltan",702293,1995-07-01,2645
"74","Almasi, Zoltan",702293,1995-01-01,2590
"75","Almasi, Zoltan",702293,1994-07-01,2620
"76","Almasi, Zoltan",702293,1994-01-01,2610
"77","Almasi, Zoltan",702293,1993-07-01,2580
"78","Almasi, Zoltan",702293,1993-01-01,2490
"79","Almasi, Zoltan",702293,1992-07-01,2470
"80","Almasi, Zoltan",702293,1992-01-01,2410
"81","Almasi, Zoltan",702293,1991-07-01,2400
"82","Almasi, Zoltan",702293,1991-01-01,2340
"83","Almasi, Zoltan",702293,1990-07-01,2265
"84","Almasi, Zoltan",702293,1990-01-01,2245
"85","Alterman, Boris",2801906,1999-07-01,2562
