"","ID","Name","Birthdate","City_of_birth"
"1",13402960,"Abasov, Nijat","1995-05-14","Baku"
"2",14204118,"Abdusattorov, Nodirbek","2004-09-18","Tashkent"
"3",400041,"Adams, Michael","1971-11-17","Truro"
"4",10601619,"Adly, Ahmed","1987-02-18","Cairo"
"5",13300580,"Akobian, Varuzhan","1983-11-19","Yerevan"
"6",13300032,"Akopian, Vladimir","1971-12-07","Baku"
"7",4135539,"Alekseenko, Kirill","1997-06-22","Vyborg"
"8",4138147,"Alekseev, Evgeny","1985-11-28","Pushkin, Saint Petersburg"
"9",702293,"Almasi, Zoltan","1976-08-29","Járdánháza"
"10",2801906,"Alterman, Boris","1970-05-04","Kharkiv"
"11",10601457,"Amin, Bassem","1988-09-09","Tanta"
"12",14700077,"Amonatov, Farrukh","1978-04-13","Dushanbe"
"13",5000017,"Anand, Viswanathan","1969-12-11","Chennai"
"14",4158814,"Andreikin, Dmitry","1990-02-05","Ryazan"
"15",4107012,"Antipov, Mikhail Al.","1997-06-10","Moscow"
"16",2285525,"Antón Guijarro, David","1995-06-23","Murcia"
"17",5072786,"Aravindh, Chithambaram VR.","1999-09-11","Thirunagar"
"18",14109530,"Areshchenko, Alexander","1986-06-15","Luhansk"
"19",13300474,"Aronian, Levon","1982-10-06","Yerevan"
"20",24101605,"Artemiev, Vladislav","1998-03-05","Omsk"
"21",13501470,"Azarov, Sergei","1983-05-19","Minsk"
"22",13601326,"Azmaiparashvili, Zurab","1960-03-16","Tbilisi"
"23",605506,"Bacrot, Etienne","1983-01-22","Lille"
"24",8602280,"Bai, Jinshi","1999-05-18","Jilin"
"25",4202031,"Banikas, Hristos","1978-05-20","Salonica"
"26",722413,"Banusz, Tamas","1989-04-08","Mohács"
"27",4667719,"Baramidze, David","1988-09-27","Tbilisi"
"28",4100140,"Bareev, Evgeny","1966-11-21","Yemanzhelinsk"
"29",1112635,"Bartel, Mateusz","1985-01-03","Warsaw"
"30",5018471,"Baskarans, Adhiban","1992-08-15","Mayiladuthurai"
"31",603767,"Bauer, Christian","1977-01-11","Forbach"
"32",718572,"Berkes, Ferenc","1985-08-08","Baja"
"33",14100371,"Bernadskiy, Vitaliy","1994-11-17","Chernovtsy"
"34",24651516,"Blübaum, Matthias","1997-04-18","Lemgo"
"35",1017063,"Bok, Benjamin","1995-01-25","Lelystad"
"36",14120828,"Bortnyk, Olexandr","1996-10-18","Oleksandrivka"
"37",14507927,"Bosiocic, Marin","1988-08-08","Rijeka"
"38",14506688,"Brkic, Ante","1988-03-31","Stari Mikanovci"
"39",3503739,"Bruzón Batista, Lázaro","1982-05-02","Holguín"
"40",8601445,"Bu, Xiangzhi","1985-12-10","Qingdao"
"41",1503014,"Carlsen, Magnus","1990-11-30","Tønsberg"
"42",2020009,"Caruana, Fabiano","1992-07-30","Miami"
"43",2905540,"Cheparinov, Ivan","1986-11-26","Asenovgrad"
"44",715620,"Chernin, Alexander","1960-03-06","Kharkiv"
"45",4108116,"Chigaev, Maksim","1996-11-07","Kemerovo"
"46",1512668,"Christiansen, Johan-Sebastian","1998-06-10",NA
"47",3802272,"Cori, Jorge","1995-07-30","Lima"
"48",1226380,"Deac, Bogdan-Daniel","2001-10-08","Râmnicu Vâlcea"
"49",4160258,"Demchenko, Anton","1987-08-20","Novorossiysk"
"50",8603677,"Ding, Liren","1992-10-24","Wenzhou"
"51",3503240,"Domínguez Pérez, Leinier","1983-09-23","Havana"
"52",24603295,"Donchenko, Alexander","1998-03-22","Moscow"
"53",4100107,"Dreev, Aleksey","1969-01-30","Stavropol"
"54",14107180,"Drozdovskij, Yuri","1984-05-22","Odessa"
"55",24126055,"Dubov, Daniil","1996-04-18","Moscow"
"56",1170546,"Duda, Jan-Krzysztof","1998-04-26","Kraków"
"57",13402935,"Durarbayli, Vasif","1992-02-24","Sumqayit"
"58",14107201,"Efimenko, Zahar","1985-07-03","Makiivka"
"59",14102951,"Eljanov, Pavel","1983-05-10","Kharkiv"
"60",719978,"Erdos, Viktor","1987-09-02","Békéscsaba"
"61",35009192,"Erigaisi Arjun","2003-09-03","Karimnagar"
"62",24175439,"Esipenko, Andrey","2002-03-22","Novocherkassk"
"63",14102536,"Fedorchuk, Sergey A.","1981-03-14",NA
"64",24130737,"Fedoseev, Vladimir","1995-02-16","Saint Petersburg"
"65",12573981,"Firouzja, Alireza","2003-06-18","Babol"
"66",608742,"Fressinet, Laurent","1981-11-30","Dax, Landes"
"67",11600454,"Fridman, Daniel","1976-02-15","Riga"
"68",1116207,"Gajewski, Grzegorz","1985-07-19","Skierniewice"
"69",4120426,"Galkin, Alexander","1979-02-01","Rostov-on-Don"
"70",5002150,"Ganguly, Surya Shekhar","1983-02-24","Kolkata"
"71",2805677,"Gelfand, Boris","1968-06-24","Minsk"
"72",13301527,"Gharamian, Tigran","1984-07-24","Yerevan"
"73",24116068,"Giri, Anish","1994-06-28","Saint Petersburg"
"74",712779,"Gledura, Benjamin","1999-07-04","Eger"
"75",4147103,"Goryachkina, Aleksandra","1998-09-28","Orsk"
"76",616915,"Gozzoli, Yannick","1983-06-02","Marseille"
"77",4129199,"Grachev, Boris","1986-03-27","Moscow"
"78",3800024,"Granda Zuniga, Julio E","1967-02-25","Camaná"
"79",1710400,"Grandelius, Nils","1993-06-03","Lund"
"80",13301004,"Grigoryan, Karen H.","1995-02-25","Yerevan"
"81",4126025,"Grischuk, Alexander","1983-10-31","Moscow"
"82",5029465,"Gujrathi Vidit","1994-10-24","Indore"
"83",5010608,"Gupta, Abhijeet","1989-10-16","Bhilwara"
"84",13401378,"Guseinov, Gadir","1986-05-21","Moscow"
"85",4625498,"Gustafsson, Jan","1979-06-25","Hamburg"
"86",702218,"Gyimesi, Zoltan","1977-03-31",NA
"87",13306677,"Hakobyan, Aram","2001-04-01","Yerevan"
"88",1503707,"Hammer, Jon Ludvig","1990-06-02","Bergen"
"89",2606771,"Hansen, Eric","1992-05-24","Irvine, California"
"90",5007003,"Harikrishna, Pentala","1986-05-10","Guntur"
"91",3409350,"Henriquez, Cristobal","1996-08-07","Santiago"
"92",400076,"Hodgson, Julian M","1963-07-25","London"
"93",8602980,"Hou, Yifan","1994-02-27","Xinghua"
"94",13302507,"Hovhannisyan, Robert","1991-03-23","Yerevan"
"95",410608,"Howell, David W L","1990-11-14","Eastbourne"
"96",12510130,"Idani, Pouya","1995-09-22","Ahvaz"
"97",2200015,"Illescas Cordoba, Miguel","1965-12-03","Barcelona"
"98",4162722,"Inarkiev, Ernesto","1985-12-09","Osh"
"99",911925,"Indjic, Aleksandar","1995-08-24","Stara Pazova"
"100",14116731,"Ipatov, Alexander","1993-07-16","Lviv"
"101",3901211,"Iturrizaga Bonelli, Eduardo","1989-11-01","Caracas"
"102",14100010,"Ivanchuk, Vasyl","1969-03-18","Kopychyntsi"
"103",950122,"Ivic, Velimir","2002-08-27","Belgrade"
"104",13601733,"Izoria, Zviad","1984-01-06","Khoni"
"105",4122356,"Jakovenko, Dmitry","1983-06-29","Omsk"
"106",409561,"Jones, Gawain C B","1987-12-11","Keighley"
"107",13702661,"Jumabayev, Rinat","1989-07-23","Shymkent"
"108",2000024,"Kamsky, Gata","1974-06-02","Novokuznetsk"
"109",14109603,"Karjakin, Sergey","1990-01-12","Simferopol"
"110",4100026,"Karpov, Anatoly","1951-05-23","Zlatoust"
"111",5074452,"Karthikeyan, Murali","1999-01-05","Thanjavur"
"112",14200244,"Kasimdzhanov, Rustam","1979-12-05","Tashkent"
"113",4100018,"Kasparov, Garry","1963-04-13","Baku"
"114",12940690,"Keymer, Vincent","2004-11-15","Mainz"
"115",4151348,"Khairullin, Ildar","1990-08-22","Perm"
"116",4100115,"Khalifman, Alexander","1966-01-18","Leningrad"
"117",4142578,"Khismatullin, Denis","1984-12-28","Neftekamsk"
